Composite Element REF,Chromosome,Start,End,Gene_Symbol,Gene_Type,Transcript_ID,Position_to_TSS,CGI_Coordinate,Feature_Type
cg14007036,chrX,137031566,137031567,GPR101,protein_coding,ENST00000298110.1,109,CGI:chrX:137031424-137032100,Island
cg14029201,chrX,135344860,135344861,ZNF449;ZNF449;ZNF75D;ZNF75D,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000339249.4;ENST00000370761.6;ENST00000370766.6;ENST00000494295.1,63;63;-772;-772,CGI:chrX:135344719-135345132,Island
cg14057181,chrX,106611826,106611827,CXorf57;CXorf57;CXorf57;CXorf57,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000372544.5;ENST00000372548.7;ENST00000421550.1;ENST00000461251.4,-105;-147;-832;-150,CGI:chrX:106611798-106612067,Island
cg14137558,chrX,129906115,129906116,RP4-537K23.4;UTP14A;UTP14A,antisense;protein_coding;protein_coding,ENST00000432062.1;ENST00000394422.6;ENST00000425117.5,51414;-69;-7,CGI:chrX:129905774-129906176,Island
cg14145674,chrX,153794560,153794561,IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000217901.8;ENST00000370092.6;ENST00000370093.4;ENST00000427365.5;ENST00000444450.4;ENST00000461215.2;ENST00000491235.1;ENST00000495356.4;ENST00000497043.4;ENST00000619865.3;ENST00000320857.6;ENST00000370085.3;ENST00000370086.6;ENST00000370087.4;ENST00000460616.4;ENST00000471724.4;ENST00000471880.4;ENST00000482902.4;ENST00000486204.4;ENST00000491833.4,-36;-47;-178;-203;-200;-213;-234;-224;-203;-36;1043;-115;-80;368;-100;-117;-120;110;-489;384,CGI:chrX:153793820-153795102,Island
cg14191108,chrX,43656209,43656210,MAOA;MAOA;MAOA,protein_coding;protein_coding;protein_coding,ENST00000338702.3;ENST00000497485.1;ENST00000542639.4,-11;-94;1301,CGI:chrX:43656077-43656433,Island
cg14196261,chrX,23743352,23743353,ACOT9;ACOT9;ACOT9;ACOT9;ACOT9,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000336430.10;ENST00000379295.4;ENST00000379303.8;ENST00000492081.1;ENST00000494361.4,-75;23124;-78;-101;-61,CGI:chrX:23742953-23743493,Island
cg14247154,chrX,64395500,64395501,MTMR8,protein_coding,ENST00000374852.3,-68,CGI:chrX:64395077-64395543,Island
cg14258356,chrX,47650711,47650712,ELK1;ELK1;ELK1;ELK1,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000247161.6;ENST00000343894.7;ENST00000376983.6;ENST00000468956.1,-222;-119;-119;-106,CGI:chrX:47650193-47651109,Island
cg14273219,chrX,49270736,49270737,PPP1R3F;PPP1R3F;PPP1R3F;PPP1R3F,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000055335.9;ENST00000466508.4;ENST00000471261.2;ENST00000495799.4,881;892;114;865,CGI:chrX:49269182-49270737,Island
cg14295009,chrX,47659024,47659025,UXT;UXT;UXT;UXT;UXT-AS1;UXT-AS1,protein_coding;protein_coding;protein_coding;protein_coding;antisense;antisense,ENST00000333119.6;ENST00000335890.2;ENST00000376964.3;ENST00000485641.4;ENST00000590504.1;ENST00000591832.1,138;94;129;84;170;190,CGI:chrX:47658616-47659451,Island
cg14295915,chrX,48476169,48476170,FTSJ1;FTSJ1;FTSJ1;FTSJ1;FTSJ1;FTSJ1;FTSJ1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000019019.5;ENST00000348411.2;ENST00000396894.7;ENST00000473235.4;ENST00000485486.1;ENST00000487353.4;ENST00000492562.4,7;7;147;-50;-35;-92;15,CGI:chrX:48475841-48476648,Island
cg14314132,chrX,119852991,119852992,UPF3B;UPF3B;UPF3B,protein_coding;protein_coding;protein_coding,ENST00000276201.5;ENST00000345865.5;ENST00000619445.1,8;8;-19,CGI:chrX:119852721-119853289,Island
cg14345281,chrX,17375461,17375462,NHS,protein_coding,ENST00000380060.6,40,CGI:chrX:17375036-17377694,Island
cg14350469,chrX,154762890,154762891,DKC1;DKC1;DKC1;DKC1;DKC1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000369550.8;ENST00000413910.4;ENST00000473552.1;ENST00000475423.1;ENST00000620277.3,133;-2;-24;37;147,CGI:chrX:154762565-154763556,Island
cg14453693,chrX,154412171,154412172,DNASE1L1;DNASE1L1;DNASE1L1;DNASE1L1;DNASE1L1;DNASE1L1;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000309585.8;ENST00000369809.4;ENST00000393638.4;ENST00000424626.4;ENST00000432135.1;ENST00000451865.4;ENST00000369776.7;ENST00000426231.4;ENST00000439735.2;ENST00000470127.1;ENST00000475699.4;ENST00000476679.4;ENST00000476800.1;ENST00000479875.1;ENST00000483674.2;ENST00000483780.4;ENST00000601016.4;ENST00000612012.3;ENST00000612460.3;ENST00000613002.3;ENST00000613634.3;ENST00000614595.1;ENST00000615658.3;ENST00000615986.3;ENST00000616020.3;ENST00000617701.3;ENST00000620808.3;ENST00000621647.1,-58;-80;-80;-79;-81;-87;411;9;340;-1359;629;-545;-921;-551;-1319;-33;614;614;614;629;646;545;652;609;629;608;596;611,CGI:chrX:154411398-154412338,Island
cg14513804,chrX,129906147,129906148,RP4-537K23.4;UTP14A;UTP14A,antisense;protein_coding;protein_coding,ENST00000432062.1;ENST00000394422.6;ENST00000425117.5,51382;-37;25,CGI:chrX:129905774-129906176,Island
cg14541939,chrX,119871950,119871951,NDUFA1;RNF113A,protein_coding;protein_coding,ENST00000371437.4;ENST00000371442.3,462;-122,CGI:chrX:119871288-119872254,Island
cg14622782,chrX,41922858,41922859,CASK;CASK;CASK;CASK;CASK;CASK;CASK;CASK,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000378154.1;ENST00000378158.4;ENST00000378163.4;ENST00000378166.7;ENST00000421587.5;ENST00000442742.5;ENST00000468986.5;ENST00000477823.1,606;482;606;158;155;150;158;125,CGI:chrX:41922853-41924005,Island
cg14625604,chrX,119574662,119574663,UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000346330.5;ENST00000371558.5;ENST00000469205.2;ENST00000625379.1;ENST00000625938.1;ENST00000628549.1;ENST00000629303.1;ENST00000630695.1;ENST00000631185.1,125;194;90;112;115;-87;83;98;98,CGI:chrX:119574330-119575073,Island
cg14783837,chrX,153794711,153794712,IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;IDH3G;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4;SSR4,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000217901.8;ENST00000370092.6;ENST00000370093.4;ENST00000427365.5;ENST00000444450.4;ENST00000461215.2;ENST00000491235.1;ENST00000495356.4;ENST00000497043.4;ENST00000619865.3;ENST00000320857.6;ENST00000370085.3;ENST00000370086.6;ENST00000370087.4;ENST00000460616.4;ENST00000471724.4;ENST00000471880.4;ENST00000482902.4;ENST00000486204.4;ENST00000491833.4,-187;-198;-329;-354;-351;-364;-385;-375;-354;-187;1194;36;71;519;51;34;31;261;-338;535,CGI:chrX:153793820-153795102,Island
cg14794494,chrX,78104067,78104068,PGK1;PGK1;PGK1,protein_coding;protein_coding;protein_coding,ENST00000373316.4;ENST00000477335.4;ENST00000491291.1,-108;38878;38850,CGI:chrX:78103806-78104482,Island
cg14824933,chrX,56563516,56563517,UBQLN2,protein_coding,ENST00000338222.6,-124,CGI:chrX:56563512-56564081,Island
cg14927076,chrX,38803792,38803793,MID1IP1;MID1IP1;MID1IP1;MID1IP1;MID1IP1-AS1,protein_coding;protein_coding;protein_coding;protein_coding;antisense,ENST00000336949.6;ENST00000378474.3;ENST00000457894.4;ENST00000614558.1;ENST00000436893.1,58;2337;2359;2359;92,CGI:chrX:38803653-38805511,Island
cg14949922,chrX,46836895,46836896,RP2,protein_coding,ENST00000218340.3,-46,CGI:chrX:46836706-46837640,Island
cg14954874,chrX,154137015,154137016,MECP2,protein_coding,ENST00000631210.1,89,CGI:chrX:154136752-154137199,Island
cg14961988,chrX,71118487,71118488,MED12;MED12;MED12;MED12,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000333646.9;ENST00000374080.6;ENST00000374102.4;ENST00000429213.2,-70;-237;-209;-349,CGI:chrX:71118430-71119016,Island
cg14964387,chrX,49101144,49101145,WDR45;WDR45;WDR45,protein_coding;protein_coding;protein_coding,ENST00000356463.6;ENST00000460501.1;ENST00000465806.4,-22;1;27,CGI:chrX:49100826-49101657,Island
cg14990368,chrX,134373309,134373310,PHF6;PHF6;PHF6;PHF6;PHF6,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000332070.6;ENST00000370799.4;ENST00000370800.4;ENST00000370803.6;ENST00000625464.1,-4;-12;-65;55;-4,CGI:chrX:134373104-134373636,Island
cg14993186,chrX,84188009,84188010,RPS6KA6;RPS6KA6,protein_coding;protein_coding,ENST00000262752.4;ENST00000460730.1,-101;-110,CGI:chrX:84187388-84188516,Island
cg15014034,chrX,43656296,43656297,MAOA;MAOA;MAOA,protein_coding;protein_coding;protein_coding,ENST00000338702.3;ENST00000497485.1;ENST00000542639.4,76;-7;1388,CGI:chrX:43656077-43656433,Island
cg15132216,chrX,49171944,49171945,PLP2;PLP2,protein_coding;protein_coding,ENST00000376322.6;ENST00000376327.5,17;17,CGI:chrX:49171743-49172764,Island
cg15144825,chrX,135052251,135052252,FAM127B;FAM127B;FAM127B;FAM127B,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000370775.2;ENST00000518153.1;ENST00000520964.1;ENST00000522309.1,-75;-160;-54;-109,CGI:chrX:135051533-135052307,Island
cg15199886,chrX,49200229,49200230,SYP;SYP;SYP;SYP;SYP;SYP;SYP;SYP;SYP-AS1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;antisense,ENST00000263233.7;ENST00000376303.5;ENST00000466635.1;ENST00000469389.4;ENST00000472598.4;ENST00000472737.1;ENST00000479808.4;ENST00000494396.4;ENST00000433499.1,31;-35;-35;-35;-52;-33;-29;-33;1262,CGI:chrX:49199889-49200428,Island
cg15234550,chrX,152830901,152830902,CETN2;CETN2;NSDHL;NSDHL;NSDHL,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000370277.3;ENST00000493482.1;ENST00000370274.6;ENST00000432467.1;ENST00000440023.4,-123;-1203;-67;-97;-67,CGI:chrX:152830605-152831207,Island
cg15255859,chrX,14873479,14873480,FANCB;FANCB;FANCB;MOSPD2;MOSPD2;MOSPD2;MOSPD2,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000324138.6;ENST00000398334.4;ENST00000452869.1;ENST00000380492.6;ENST00000461777.1;ENST00000482354.4;ENST00000497603.2,-409;-416;-426;37;-13;23;-51,CGI:chrX:14872869-14873612,Island
cg15257930,chrX,11758218,11758219,MSL3;MSL3;MSL3;MSL3;MSL3;MSL3;MSL3;MSL3;MSL3;MSL3,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000312196.7;ENST00000337339.5;ENST00000361672.5;ENST00000380692.5;ENST00000380693.6;ENST00000398527.5;ENST00000421368.2;ENST00000468149.4;ENST00000476743.4;ENST00000478462.4,58;-20;58;-1411;-1335;-365;-369;-36;-365;-1424,CGI:chrX:11757665-11758817,Island
cg15308487,chrX,24465175,24465176,PDK3;PDK3,protein_coding;protein_coding,ENST00000379162.7;ENST00000441463.2,-47;-282,CGI:chrX:24464899-24465830,Island
cg15342308,chrX,47658773,47658774,UXT;UXT;UXT;UXT;UXT;UXT-AS1;UXT-AS1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;antisense;antisense,ENST00000333119.6;ENST00000335890.2;ENST00000376964.3;ENST00000460840.4;ENST00000485641.4;ENST00000590504.1;ENST00000591832.1,389;345;380;-1273;335;-81;-61,CGI:chrX:47658616-47659451,Island
cg15345580,chrX,24465177,24465178,PDK3;PDK3,protein_coding;protein_coding,ENST00000379162.7;ENST00000441463.2,-45;-280,CGI:chrX:24464899-24465830,Island
cg15373633,chrX,86148470,86148471,DACH2;DACH2;DACH2;DACH2,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000373125.7;ENST00000373131.4;ENST00000461604.5;ENST00000506327.5,-152;11;9;-152,CGI:chrX:86147939-86148873,Island
cg15388264,chrX,72714142,72714143,PHKA1;PHKA1;PHKA1;PHKA1;PHKA1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000339490.6;ENST00000373539.3;ENST00000373542.7;ENST00000373545.6;ENST00000541944.4,40;117;-101;178;40,CGI:chrX:72713712-72714417,Island
cg15450782,chrX,54183249,54183250,FAM120C;FAM120C;FAM120C;FAM120C,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000328235.4;ENST00000375180.5;ENST00000477084.1;ENST00000497680.1,7;7;33;-470,CGI:chrX:54182506-54183309,Island
cg15465809,chrX,49074123,49074124,AF196779.12;PRAF2;PRAF2;PRAF2,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000376358.3;ENST00000376386.3;ENST00000553851.2;ENST00000618882.1,5765;-133;-51;-287,CGI:chrX:49073764-49074295,Island
cg15481221,chrX,101407865,101407866,GLA;GLA;GLA;GLA;GLA;HNRNPH2;RPL36A-HNRNPH2;RPL36A-HNRNPH2,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000218516.3;ENST00000479445.1;ENST00000480513.4;ENST00000486121.4;ENST00000493905.5;ENST00000316594.5;ENST00000409170.3;ENST00000409338.4,61;23;-31;-31;44;-431;16852;16853,CGI:chrX:101407839-101408313,Island
cg15511516,chrX,152830942,152830943,CETN2;CETN2;NSDHL;NSDHL;NSDHL,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000370277.3;ENST00000493482.1;ENST00000370274.6;ENST00000432467.1;ENST00000440023.4,-164;-1244;-26;-56;-26,CGI:chrX:152830605-152831207,Island
cg15517690,chrX,154371288,154371289,FLNA;FLNA;FLNA;FLNA;FLNA;FLNA;FLNA,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000344736.7;ENST00000360319.7;ENST00000369850.6;ENST00000369856.6;ENST00000420627.4;ENST00000422373.4;ENST00000610817.3,1;-4;3339;-65;-84;3351;3351,CGI:chrX:154370595-154372236,Island
cg15520863,chrX,120630086,120630087,C1GALT1C1;C1GALT1C1,protein_coding;protein_coding,ENST00000304661.5;ENST00000371313.2,65;-90,CGI:chrX:120629882-120630375,Island
cg15521289,chrX,106726708,106726709,RNF128;RNF128;RNF128,protein_coding;protein_coding;protein_coding,ENST00000255499.2;ENST00000324342.6;ENST00000418562.4,43;32869;32913,CGI:chrX:106726456-106727368,Island
cg15661671,chrX,119574386,119574387,UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000346330.5;ENST00000371558.5;ENST00000469205.2;ENST00000625379.1;ENST00000625938.1;ENST00000628549.1;ENST00000629303.1;ENST00000630695.1;ENST00000631185.1,-151;-82;-186;-164;-161;-363;-193;-178;-178,CGI:chrX:119574330-119575073,Island
cg15685776,chrX,135052243,135052244,FAM127B;FAM127B;FAM127B;FAM127B,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000370775.2;ENST00000518153.1;ENST00000520964.1;ENST00000522309.1,-67;-152;-46;-101,CGI:chrX:135051533-135052307,Island
cg15686826,chrX,100928947,100928948,XKRX;XKRX,protein_coding;protein_coding,ENST00000372956.2;ENST00000468904.1,-37;487,CGI:chrX:100928888-100929355,Island
cg15706156,chrX,152638074,152638075,GABRQ,protein_coding,ENST00000598523.2,-110,CGI:chrX:152637754-152638493,Island
cg15769969,chrX,130165967,130165968,AIFM1;AIFM1;AIFM1;AIFM1;AIFM1;AIFM1;AIFM1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000287295.6;ENST00000319908.6;ENST00000346424.5;ENST00000416073.5;ENST00000527892.4;ENST00000529877.1;ENST00000535724.4,-79;-87;-286;-302;-302;-207;-79,CGI:chrX:130165458-130166131,Island
cg15806723,chrX,49200252,49200253,SYP;SYP;SYP;SYP;SYP;SYP;SYP;SYP;SYP-AS1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;antisense,ENST00000263233.7;ENST00000376303.5;ENST00000466635.1;ENST00000469389.4;ENST00000472598.4;ENST00000472737.1;ENST00000479808.4;ENST00000494396.4;ENST00000433499.1,8;-58;-58;-58;-75;-56;-52;-56;1285,CGI:chrX:49199889-49200428,Island
cg15815114,chrX,120561372,120561373,CUL4B;CUL4B;CUL4B;CUL4B;CUL4B,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000336592.9;ENST00000371322.8;ENST00000371323.2;ENST00000404115.6;ENST00000467641.1,69;-671;-1428;14423;-69,CGI:chrX:120561088-120561373,Island
cg15841434,chrX,48508815,48508816,AF196972.9;PORCN;PORCN;PORCN;PORCN;PORCN;PORCN;PORCN;PORCN;PORCN;PORCN;PORCN;PORCN;PORCN,antisense;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000445586.1;ENST00000326194.9;ENST00000355961.7;ENST00000359882.7;ENST00000361988.6;ENST00000367574.7;ENST00000470275.2;ENST00000472520.4;ENST00000485288.5;ENST00000486272.1;ENST00000489940.4;ENST00000491243.4;ENST00000528612.4;ENST00000537758.4,24;-964;-188;-148;-226;-1007;-862;-178;-180;-152;-216;-217;-197;-1007,CGI:chrX:48508777-48509354,Island
cg15854321,chrX,101407933,101407934,GLA;GLA;GLA;GLA;GLA;HNRNPH2;RPL36A-HNRNPH2;RPL36A-HNRNPH2,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000218516.3;ENST00000479445.1;ENST00000480513.4;ENST00000486121.4;ENST00000493905.5;ENST00000316594.5;ENST00000409170.3;ENST00000409338.4,-7;-45;-99;-99;-24;-363;16920;16921,CGI:chrX:101407839-101408313,Island
cg15879692,chrX,154374758,154374759,FLNA;FLNA;FLNA,protein_coding;protein_coding;protein_coding,ENST00000369850.6;ENST00000422373.4;ENST00000610817.3,-131;-119;-119,CGI:chrX:154374352-154374901,Island
cg15883201,chrX,23907932,23907933,APOO;APOO;CXorf58,protein_coding;protein_coding;protein_coding,ENST00000379226.7;ENST00000490078.1;ENST00000379211.6,3;-28;130,CGI:chrX:23907473-23908198,Island
cg15907464,chrX,71492940,71492941,INGX;INGX;TAF1;TAF1;TAF1;TAF1;TAF1;TAF1;TAF1;TAF1,transcribed_processed_pseudogene;transcribed_processed_pseudogene;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000359239.3;ENST00000489074.2;ENST00000373775.7;ENST00000437147.6;ENST00000461764.4;ENST00000462588.4;ENST00000467309.4;ENST00000468167.4;ENST00000485087.4;ENST00000497222.1,-11;-490;86260;86260;69781;69781;33269;69781;69781;627,CGI:chrX:71492199-71492971,Island
cg15919369,chrX,77895553,77895554,MAGT1;MAGT1;MAGT1;MAGT1;MAGT1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000358075.9;ENST00000373336.3;ENST00000476168.1;ENST00000610432.3;ENST00000618282.3,41;-112;-128;16;-121,CGI:chrX:77895340-77895750,Island
cg15922956,chrX,155026689,155026690,F8;F8;FUNDC2;FUNDC2;FUNDC2,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000423959.4;ENST00000453950.1;ENST00000369498.6;ENST00000475165.4;ENST00000484175.4,252;180;3;708;-465,CGI:chrX:155026640-155027421,Island
cg15958715,chrX,49270652,49270653,PPP1R3F;PPP1R3F;PPP1R3F;PPP1R3F,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000055335.9;ENST00000466508.4;ENST00000471261.2;ENST00000495799.4,797;808;30;781,CGI:chrX:49269182-49270737,Island
cg15977272,chrX,68829066,68829067,EFNB1,protein_coding,ENST00000204961.4,68,CGI:chrX:68828816-68830409,Island
cg16078210,chrX,77895682,77895683,MAGT1;MAGT1;MAGT1;MAGT1;MAGT1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000358075.9;ENST00000373336.3;ENST00000476168.1;ENST00000610432.3;ENST00000618282.3,-88;-241;-257;-113;-250,CGI:chrX:77895340-77895750,Island
cg16097355,chrX,74614497,74614498,RLIM;RLIM,protein_coding;protein_coding,ENST00000332687.9;ENST00000349225.2,121;121,CGI:chrX:74614164-74614762,Island
cg16108684,chrX,126166052,126166053,DCAF12L2,protein_coding,ENST00000360028.2,-100,CGI:chrX:126165262-126166453,Island
cg16118600,chrX,72239016,72239017,ERCC6L;ERCC6L;PIN4;PIN4;PIN4,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000334463.3;ENST00000373657.2;ENST00000423432.5;ENST00000439980.5;ENST00000496835.5,32;12;57339;57250;57250,CGI:chrX:72238710-72239352,Island
cg16161440,chrX,56563754,56563755,UBQLN2,protein_coding,ENST00000338222.6,114,CGI:chrX:56563512-56564081,Island
cg16170944,chrX,134460080,134460081,HPRT1;HPRT1,protein_coding;protein_coding,ENST00000298556.7;ENST00000462974.4,-74;-272,CGI:chrX:134459883-134460798,Island
cg16177032,chrX,47659228,47659229,UXT;UXT;UXT;UXT;UXT-AS1;UXT-AS1,protein_coding;protein_coding;protein_coding;protein_coding;antisense;antisense,ENST00000333119.6;ENST00000335890.2;ENST00000376964.3;ENST00000485641.4;ENST00000590504.1;ENST00000591832.1,-66;-110;-75;-120;374;394,CGI:chrX:47658616-47659451,Island
cg16181678,chrX,120244861,120244862,NKAPP1;NKAPP1;NKAPP1;NKAPP1;NKAPP1,transcribed_processed_pseudogene;transcribed_processed_pseudogene;transcribed_processed_pseudogene;transcribed_processed_pseudogene;transcribed_processed_pseudogene,ENST00000452254.2;ENST00000536487.2;ENST00000554109.1;ENST00000555168.1;ENST00000585790.1,373;201;407;28;265,CGI:chrX:120244791-120245184,Island
cg16211147,chrX,119574653,119574654,UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000346330.5;ENST00000371558.5;ENST00000469205.2;ENST00000625379.1;ENST00000625938.1;ENST00000628549.1;ENST00000629303.1;ENST00000630695.1;ENST00000631185.1,116;185;81;103;106;-96;74;89;89,CGI:chrX:119574330-119575073,Island
cg16221895,chrX,69616047,69616048,EDA;EDA;EDA;EDA;EDA;EDA;EDA;EDA;EDA,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000338901.4;ENST00000374548.4;ENST00000374552.7;ENST00000374553.5;ENST00000502251.4;ENST00000524573.4;ENST00000525810.4;ENST00000527388.4;ENST00000533317.4,-21;-21;-21;-21;-21;-71;-21;-21;-21,CGI:chrX:69615804-69617219,Island
cg16248169,chrX,48475920,48475921,FTSJ1;FTSJ1;FTSJ1;FTSJ1;FTSJ1;FTSJ1;FTSJ1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000019019.5;ENST00000348411.2;ENST00000396894.7;ENST00000473235.4;ENST00000485486.1;ENST00000487353.4;ENST00000492562.4,-242;-242;-102;-299;-284;-341;-234,CGI:chrX:48475841-48476648,Island
cg16250105,chrX,49101236,49101237,WDR45;WDR45;WDR45,protein_coding;protein_coding;protein_coding,ENST00000356463.6;ENST00000460501.1;ENST00000465806.4,-114;-91;-65,CGI:chrX:49100826-49101657,Island
cg16314146,chrX,136497322,136497323,HTATSF1;HTATSF1;HTATSF1;HTATSF1,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000218364.4;ENST00000425695.4;ENST00000448450.4;ENST00000535601.4,-190;87;100;242,CGI:chrX:136496842-136497940,Island
cg16318983,chrX,150568605,150568606,MTM1;MTM1;MTM1;MTM1;MTM1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000306167.10;ENST00000370393.4;ENST00000370396.5;ENST00000424519.1;ENST00000490530.1,-30;-21;-15;-18;-35,CGI:chrX:150568270-150569173,Island
cg16429439,chrX,77895469,77895470,MAGT1;MAGT1;MAGT1;MAGT1;MAGT1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000358075.9;ENST00000373336.3;ENST00000476168.1;ENST00000610432.3;ENST00000618282.3,125;-28;-44;100;-37,CGI:chrX:77895340-77895750,Island
cg16431713,chrX,154398182,154398183,RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;XX-FW83563B9.5,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;antisense,ENST00000344746.7;ENST00000369817.5;ENST00000406022.5;ENST00000424325.5;ENST00000436473.4;ENST00000451365.1;ENST00000458500.4;ENST00000467168.4;ENST00000479366.1;ENST00000482732.1;ENST00000485196.4;ENST00000489200.4;ENST00000491035.4;ENST00000492572.4;ENST00000618723.3;ENST00000624054.1,-191;1027;-709;-49;-186;-1185;-197;-316;432;-207;-198;-196;-196;8226;-49;635,CGI:chrX:154397754-154398983,Island
cg16452396,chrX,134373364,134373365,PHF6;PHF6;PHF6;PHF6;PHF6,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000332070.6;ENST00000370799.4;ENST00000370800.4;ENST00000370803.6;ENST00000625464.1,51;43;-10;110;51,CGI:chrX:134373104-134373636,Island
